,permno,mthcaldt,ticker,shrout,mthprc
35205,62834,1998-10-30,EC,144508.0,21.0
35206,62834,1998-11-30,EC,143249.0,19.3125
35207,62834,1998-12-31,EC,143249.0,19.5
35208,62834,1999-01-29,EC,143249.0,19.5625
35209,62834,1999-02-26,EC,143249.0,17.8125
35210,62834,1999-03-31,EC,143603.0,16.9375
35211,62834,1999-04-30,EC,143603.0,19.1875
35212,62834,1999-05-28,EC,143644.0,20.25
35213,62834,1999-06-30,EC,143644.0,22.625
35214,62834,1999-07-30,EC,143644.0,22.3125
35215,62834,1999-08-31,EC,125902.0,19.9375
35216,62834,1999-09-30,EC,125902.0,18.25
35217,62834,1999-10-29,EC,125902.0,17.625
35218,62834,1999-11-30,EC,125902.0,16.8125
35219,62834,1999-12-31,EC,125839.0,18.875
35220,62834,2000-01-31,EC,125839.0,15.9375
35221,62834,2000-02-29,EC,125839.0,13.625
35222,62834,2000-03-31,EC,125591.0,15.125
35223,62834,2000-04-28,EC,125591.0,17.5625
35224,62834,2000-05-31,EC,127616.0,17.5625
35225,62834,2000-06-30,EC,127616.0,17.0625
35226,62834,2000-07-31,EC,127616.0,18.0625
35227,62834,2000-08-31,EC,127699.0,18.75
35228,62834,2000-09-29,EC,127699.0,16.25
35229,62834,2000-10-31,EC,127699.0,20.875
35230,62834,2000-11-30,EC,127780.0,19.6875
35231,62834,2000-12-29,EC,127780.0,20.375
35232,62834,2001-01-31,EC,127780.0,22.55
35233,62834,2001-02-28,EC,127780.0,23.93
35234,62834,2001-03-30,EC,127780.0,25.86
35235,62834,2001-04-30,EC,129969.0,25.71
35236,62834,2001-05-31,EC,130759.0,27.76
35237,62834,2001-06-29,EC,130759.0,25.79
35238,62834,2001-07-31,EC,130759.0,26.05
35239,62834,2001-08-31,EC,131224.0,26.13
35240,62834,2001-09-28,EC,131224.0,23.1
35241,62834,2001-10-31,EC,131224.0,26.18
35242,62834,2001-11-30,EC,129796.0,27.95
35243,62834,2001-12-31,EC,129796.0,27.68
35244,62834,2002-01-31,EC,129796.0,27.86
35245,62834,2002-02-28,EC,129796.0,28.77
35246,62834,2002-03-28,EC,129915.0,31.03
35247,62834,2002-04-30,EC,129915.0,30.42
35248,62834,2002-05-31,EC,129577.0,31.12
35249,62834,2002-06-28,EC,129577.0,28.32
35250,62834,2002-07-31,EC,129577.0,25.0
35251,62834,2002-08-30,EC,128627.0,26.16
35252,62834,2002-09-30,EC,128627.0,23.83
35253,62834,2002-10-31,EC,128627.0,22.15
35254,62834,2002-11-29,EC,127786.0,24.24
35255,62834,2002-12-31,EC,127786.0,22.35
35256,62834,2003-01-31,EC,127786.0,20.71
35257,62834,2003-02-28,EC,127786.0,20.75
35258,62834,2003-03-31,EC,127345.0,21.42
35259,62834,2003-04-30,EC,127345.0,24.55
35260,62834,2003-05-30,EC,125932.0,25.15
35261,62834,2003-06-30,EC,125932.0,24.77
35262,62834,2003-07-31,EC,125932.0,26.28
35263,62834,2003-08-29,EC,125932.0,28.07
35264,62834,2003-09-30,EC,125932.0,27.67
35265,62834,2003-10-31,EC,125581.0,28.58
35266,62834,2003-11-28,EC,125457.0,29.82
35267,62834,2003-12-31,EC,125457.0,29.95
35268,62834,2004-01-30,EC,125457.0,28.37
35269,62834,2004-02-27,EC,125457.0,29.02
35270,62834,2004-03-31,EC,124547.0,29.89
35271,62834,2004-04-30,EC,124272.0,29.04
35272,62834,2004-05-28,EC,124268.0,30.27
35273,62834,2004-06-30,EC,124268.0,32.31
35274,62834,2004-07-30,EC,124268.0,29.4
35275,62834,2004-08-31,EC,124379.0,28.27
35276,62834,2004-09-30,EC,124379.0,28.35
35277,62834,2004-10-29,EC,122470.0,28.3
35278,62834,2004-11-30,EC,122302.0,29.89
35279,62834,2004-12-31,EC,122302.0,30.67
35280,62834,2005-01-31,EC,122302.0,30.05
35281,62834,2005-02-28,EC,122302.0,30.25
35282,62834,2005-03-31,EC,122184.0,30.03
35283,62834,2005-04-29,EC,121964.0,30.63
35284,62834,2005-05-31,EC,120624.0,29.4
35285,62834,2005-06-30,EC,120624.0,28.55
35286,62834,2005-07-29,EC,120112.0,28.69
35287,62834,2005-08-31,EC,120130.0,28.45
35288,62834,2005-09-30,EC,120130.0,27.91
35289,62834,2005-10-31,EC,119884.0,27.2
35290,62834,2005-11-30,EC,119907.0,29.5
35291,62834,2005-12-30,EC,119907.0,30.15
35292,62834,2006-01-31,EC,119907.0,40.3
35293,62834,2006-02-28,EC,122381.0,39.75
35294,62834,2006-03-31,EC,123759.0,39.61
35295,62834,2006-04-28,EC,123963.0,38.41
35296,62834,2006-05-31,EC,124080.0,38.93
35297,62834,2006-06-30,EC,,38.98
35298,62834,1988-01-29,EC,44983.0,20.375
35299,62834,1988-02-29,EC,44983.0,20.125
35300,62834,1988-03-31,EC,44983.0,19.5
35301,62834,1988-04-29,EC,44983.0,20.125
35302,62834,1988-05-31,EC,44983.0,19.0
35303,62834,1988-06-30,EC,44622.0,19.875
35304,62834,1988-07-29,EC,44622.0,18.375
35305,62834,1988-08-31,EC,44622.0,17.125
35306,62834,1988-09-30,EC,44945.0,19.375
35307,62834,1988-10-31,EC,44945.0,19.25
35308,62834,1988-11-30,EC,44945.0,18.25
35309,62834,1988-12-30,EC,44755.0,17.25
35310,62834,1989-01-31,EC,44755.0,18.25
35311,62834,1989-02-28,EC,44755.0,21.25
35312,62834,1989-03-31,EC,44755.0,21.125
35313,62834,1989-04-28,EC,44755.0,21.125
35314,62834,1989-05-31,EC,44755.0,20.5
35315,62834,1989-06-30,EC,44718.0,20.875
35316,62834,1989-07-31,EC,44718.0,21.125
35317,62834,1989-08-31,EC,44718.0,22.25
35318,62834,1989-09-29,EC,44718.0,23.5
35319,62834,1989-10-31,EC,44718.0,20.875
35320,62834,1989-11-30,EC,44718.0,21.125
35321,62834,1989-12-29,EC,44718.0,19.25
35322,62834,1990-01-31,EC,44718.0,21.0
35323,62834,1990-02-28,EC,44718.0,18.75
35324,62834,1990-03-30,EC,44718.0,18.0
35325,62834,1990-04-30,EC,44718.0,18.0
35326,62834,1990-05-31,EC,44718.0,20.625
35327,62834,1990-06-29,EC,44780.0,22.375
35328,62834,1990-07-31,EC,44780.0,21.875
35329,62834,1990-08-31,EC,44780.0,19.0
35330,62834,1990-09-28,EC,44780.0,20.625
35331,62834,1990-10-31,EC,44780.0,18.375
35332,62834,1990-11-30,EC,44780.0,18.125
35333,62834,1990-12-31,EC,44639.0,18.875
35334,62834,1991-01-31,EC,44639.0,19.375
35335,62834,1991-02-28,EC,44639.0,23.875
35336,62834,1991-03-28,EC,44639.0,25.0
35337,62834,1991-04-30,EC,44639.0,26.625
35338,62834,1991-05-31,EC,44639.0,28.25
35339,62834,1991-06-28,EC,45062.0,29.625
35340,62834,1991-07-31,EC,45062.0,30.75
35341,62834,1991-08-30,EC,45062.0,32.875
